Internal ID,Invoice Number,Type,Contract No,Rental Invoice,Transaction date,Period,Location,Contract Status,Old Unit No,Contract Start Date,Contract End Date,Memo,Approve Status,Next Approval Role,Property Name.,Unit,Amount,File Attached,Attachement,Payment Receipt,Owner Subsidiary,Comission AR Invoice,Comission AP Invoice,Comission % ,
1175206,Invoice #SSLGRE/2024/001076,FAMILY,0120220323001636 (v.3),,29/05/2024,May-24,SSL-DUBAI,Backlog,1,20/05/2024,19/05/2025,RENEWAL,Pending Approval,SALG-Group-GM,OLD HOR AL ANZ VILLAS,V5-01,"73,775.01",Yes,OLDHORALANZ 01 TC24.pdf,NOT AVAILABLE,,,,,
1390977,Tenancy contract #GRE/2024/TC/00211,FAMILY,0120210823001266 (v.4),Invoice #GRE/2024/INV/00411,10/10/24,Oct-24,DUBAI,ACTIVE,1,5/10/24,4/10/25,Renewal,Approved,SALG-Group-GM,ABUHAIL VILLAS,V1-01,"80,738.10",,ABUHAIL 01 TC24.pdf,AVAILABLE,HOLDING : SAEED AHMED LOOTAH & SONS GROUP CONSOLIDATED : SAEED AHMED LOOTAH & SONS GROUP STANDALONE : GROUP REAL ESTATE,,,0.00%,
1391221,Tenancy contract #GRE/2024/TC/00214,BACHELOR,0120210905003106 (v.4),Invoice #GRE/2024/INV/00406,10/10/24,Oct-24,DUBAI,ACTIVE,1,1/10/24,30/09/2025,Renewal,Approved,SALG-Group-GM,RASHIDIYA VILLAS,V9-01,"68,988.10",,RASHIDIYA 01 TC24.pdf,AVAILABLE,HOLDING : SAEED AHMED LOOTAH & SONS GROUP CONSOLIDATED : SAEED AHMED LOOTAH & SONS GROUP STANDALONE : GROUP REAL ESTATE,,,0.00%,
1511770,Tenancy contract #TC-SSLGRE/2024/000292,FAMILY,012031003001720 (v.1),Invoice #GRE/2024/INV/00653,1/2/24,Feb-24,SSL - DUBAI,ACTIVE,1,15/02/2024,14/02/2027,New Tenant,Approved,SALG-Group-GM,JUMEIRA 16 VILLAS,,"1,373,250.00",Yes,JV16 01 TC24.pdf,AVAILABLE,HOLDING : SAEED AHMED LOOTAH & SONS GROUP CONSOLIDATED : SAEED AHMED LOOTAH & SONS GROUP STANDALONE : GROUP REAL ESTATE,,,0.00%,
1679889,Tenancy contract #TC-SSLGRE/2024/001076,FAMILY,0120220323001636 (v.3),Invoice #GRE/2024/INV/01209,29/05/2024,May-24,SSL - DUBAI,RENEWED,1,20/05/2024,19/05/2025,RENEWAL,Approved,SALG-Group-GM,OLD HOR AL ANZ VILLAS,,"73,738.10",Yes,OLDHORALANZ 01 TC24.pdf,AVAILABLE,HOLDING : SAEED AHMED LOOTAH & SONS GROUP CONSOLIDATED : SAEED AHMED LOOTAH & SONS GROUP STANDALONE : GROUP REAL ESTATE,,,0.00%,
2883517,Tenancy contract #GRE/2025/TC/00493,FAMILY,0120220323001636(V.4),Invoice #GRE/2025/INV/000769,22/05/2025,May-25,SSL - DUBAI,ACTIVE,1,20/05/2025,19/05/2026,Renewal,Approved,SALG-Group-GM,OLD HOR AL ANZ VILLAS,,"81,038.10",,old hor al anz 01 tc25.pdf,AVAILABLE,HOLDING : SAEED AHMED LOOTAH & SONS GROUP CONSOLIDATED : SAEED AHMED LOOTAH & SONS GROUP STANDALONE : GROUP REAL ESTATE,,,0.00%,
450244,Invoice #RE/2023/000141,FAMILY,,,30/01/2023,Jan-23,SSL-DUBAI,EXPIRED,2,1/4/22,30/04/2025,pmts in invoice 5785,,SSLG-RE-Real Estate General Manager,JUMEIRA 5 VILLAS,V7-02,0,,,NOT AVAILABLE,,,,,
1176221,Invoice #SSLGRE/2024/001085,COMMERCIAL,1001465924,,30/05/2024,May-24,SSL-Sharjah,Backlog,2,5/6/24,4/6/25,Renewal,Pending Approval,SALG-Group-GM,SHARJAH IND 11,45840,"110,250.00",Yes,SHJ IND 02 TC24.pdf,NOT AVAILABLE,,,,,
1416059,Tenancy contract #GRE/2024/TC/00290,FAMILY,0120200908003136(V.5),Invoice #GRE/2024/INV/00384,23/10/2024,Oct-24,DUBAI,ACTIVE,2,20/10/2024,19/10/2025,Renewal,Approved,SALG-Group-GM,ABUHAIL VILLAS,,"85,238.10",,Abuhail-2 tc24.pdf,AVAILABLE,HOLDING : SAEED AHMED LOOTAH & SONS GROUP CONSOLIDATED : SAEED AHMED LOOTAH & SONS GROUP STANDALONE : GROUP REAL ESTATE,,,0.00%,
1516946,Tenancy contract #TC-SSLGRE/2024/000511,FAMILY,0120240306006110 (v.1),Invoice #GRE/2024/INV/00821,7/3/24,Mar-24,SSL - DUBAI,RENEWED,2,15/03/2024,14/04/2025,New Tenant,Approved,SALG-Group-GM,JUMEIRA 16 VILLAS,,"462,250.00",,JV16 02 TC24.pdf,AVAILABLE,HOLDING : SAEED AHMED LOOTAH & SONS GROUP CONSOLIDATED : SAEED AHMED LOOTAH & SONS GROUP STANDALONE : GROUP REAL ESTATE,,,0.00%,
