Building Name,Building Code,Name,Old Unit No,Unit Type,PREMISES NO,Rental Status,Property Service Type,Price,Building Segment,Unit Segment,
BURJ AL ARAB BUILDING,1,01-311,311,2BHK,,LEASED,Property Rental," 	34,000.00 ",BURJ AL ARAB BUILDING,01-311,
MUNA AOUF VILLA,2,02-V1,V1,6BHK,,LEASED,Property Rental," 	150,000.00 ",MUNA AOUF VILLA,02-V1,
FATMA AOUF VILLA,3,03-V1,V1,6BHK,,LEASED,Property Rental," 	150,000.00 ",FATMA AOUF VILLA,03-V1,
IBRAHIM ESSA  LOOTAH,4,04-V1,V1,6BHK,,BOOKED,Property Rental," 	16,000.00 ",01- Other Income,04-V1,
ATIQ ALKASH,5,05-SH01,SH01,SHOP,,LEASED,Property Rental," 	100,000.00 ",ATIQ ALKASH,05-SH01,
SHARJAH IND 11,7,45839,1,WAREHOUSE,,LEASED,Property Rental," 	135,000.00 ",SHARJAH IND 11,1-Jul,
SHARJAH IND 11,7,45840,2,WAREHOUSE,,LEASED,Property Rental," 	105,000.00 ",SHARJAH IND 11,2-Jul,
SHARJAH IND 11,7,45841,3,WAREHOUSE,,LEASED,Property Rental," 	200,000.00 ",SHARJAH IND 11,3-Jul,
SHARJAH IND 11,7,45842,4,WAREHOUSE,,LEASED,Property Rental," 	130,000.00 ",SHARJAH IND 11,4-Jul,
SHARJAH IND 11,7,45843,5,WAREHOUSE,,LEASED,Property Rental," 	130,000.00 ",SHARJAH IND 11,5-Jul,
SHARJAH IND 11,7,45844,6,WAREHOUSE,,LEASED,Property Rental," 	148,000.00 ",SHARJAH IND 11,6-Jul,
SHARJAH IND 11,7,45845,7,WAREHOUSE,,LEASED,Property Rental," 	150,000.00 ",SHARJAH IND 11,7-Jul,
SHARJAH IND 11,7,45846,8,WAREHOUSE,,LEASED,Property Rental," 	140,000.00 ",SHARJAH IND 11,8-Jul,
SHARJAH IND 11,7,45847,9,WAREHOUSE,,LEASED,Property Rental," 	125,000.00 ",SHARJAH IND 11,9-Jul,
SHARJAH IND 11,7,45848,10,WAREHOUSE,,LEASED,Property Rental," 	125,000.00 ",SHARJAH IND 11,10-Jul,
SHARJAH IND 11,7,45849,11,WAREHOUSE,,LEASED,Property Rental," 	140,000.00 ",SHARJAH IND 11,11-Jul,
